LLM_Model,Role,PictureID,Generation_Date,Perceived_Gender,Perceived_Race_Ethnicity,Perceived_Age,Setting,Attire,Props_Count,Technology_Presence,Brightness_Level,Dominant_Color_Palette,Color_Saturation_Intensity,Color_Contrast,Dominant_Emotion,Overall_Impression
Llama4,C++ developer,Llama4_C++developer_P1,7/8/2025,Male,White/Caucasian,Young,Home office,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,Happy,Relaxed and focused; appears approachable and competent in a casual home setting.
Llama4,C++ developer,Llama4_C++developer_P2,7/8/2025,Male,White/Caucasian,Young,Home office,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,Neutral,Calm and engaged; giving a sense of quiet concentration and competence.
Llama4,C++ developer,Llama4_C++developer_P3,7/8/2025,Male,White/Caucasian,Young,Home office,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,Neutral,Appears deep in thought; environment and demeanor emphasize intellectual focus.
Llama4,C++ developer,Llama4_C++developer_P4,7/8/2025,Male,White/Caucasian,Young,Home office,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,Neutral,Serious and methodical; setting implies discipline and technical rigor.
Llama4,C++ developer,Llama4_C++developer_P5,7/8/2025,Male,White/Caucasian,Young,Home office,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate,Neutral,Professional and focused with a calm demeanor in a personal workspace.
Llama4,C++ developer,Llama4_C++developer_P6,7/8/2025,Male,White/Caucasian,Young,Home office,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0","Desktop computer, Screen monitor, Code on screens",Bright,Neutral colors,High saturation,High contrast,Neutral,Energetic and sharply focused; conveys a dynamic working environment.
Llama4,C++ developer,Llama4_C++developer_P7,7/8/2025,Male,White/Caucasian,Young,Home office,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0","Desktop computer, Screen monitor, Code on screens",Bright,Neutral colors,High saturation,High contrast,angry,Determined and intense; high engagement in the development task is clear.
Llama4,C++ developer,Llama4_C++developer_P8,7/8/2025,Male,White/Caucasian,Young,Home office,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,Neutral,"Calm and collected, giving a strong sense of structured work ethic."
Llama4,C++ developer,Llama4_C++developer_P9,7/8/2025,Male,White/Caucasian,Young,Home office,Casual hoodie,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0, Beverages: 1","Desktop computer, Screen monitor, Code on screens, Beverage",Dark,Cool colors,Low saturation,Low contrast,Sad,Somber and weary; the mood suggests late-night or stressful coding session.
Llama4,C++ developer,Llama4_C++developer_P10,7/8/2025,Male,White/Caucasian,Older,Home office,Formal shirt/blazer,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0","Laptop, Screen monitors, Code on screens",Dark,Neutral colors,Low saturation,Low contrast,Neutral,"Experienced and focused; conveys a serious, scholarly atmosphere in a mature work setting."
Stable Diffusion,C++ developer,StableDiffusion_C++_P1,7/8/2025,Male,White/Caucasian,Young,Indistinct background,Formal shirt/blazer,"Laptops: 0, Monitors: 0, Mobile phones: 0, Whiteboards: 0",None,Neutral,Neutral colors,Medium saturation,Low contrast,Happy,Polished and approachable; gives off a professional yet friendly aura.
Stable Diffusion,C++ developer,StableDiffusion_C++_P2,7/8/2025,Female,White/Caucasian,Young,Office cubicle,Other,"Laptops: 0, Monitors: 1, Mobile phones: 0, Whiteboards: 0","Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate,Neutral,"Confident and composed, presenting a balanced and focused demeanor in a modern workspace."
Stable Diffusion,C++ developer,StableDiffusion_C++_P3,7/8/2025,Male,White/Caucasian,Young,Indistinct background,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 0, Mobile phones: 0, Whiteboards: 0",None,Neutral,Neutral colors,Medium saturation,Low contrast,Happy,Casual and friendly with a relatable and easygoing vibe.
Stable Diffusion,C++ developer,StableDiffusion_C++_P4,7/8/2025,Male,White/Caucasian,Middle-aged,Indistinct background,Other,"Laptops: 0, Monitors: 0, Mobile phones: 0, Whiteboards: 0",None,Dark,Neutral colors,Low saturation,Low contrast,Neutral,"Experienced and confident, conveying a sense of authority and technical mastery."
Stable Diffusion,C++ developer,StableDiffusion_C++_P5,7/8/2025,Male,White/Caucasian,Middle-aged,Office cubicle,Headphones,"Laptops: 0, Monitors: 2, Mobile phones: 0, Whiteboards: 0","Screen monitors, Code on screens, Headphones",Dark,Neutral colors,Medium saturation,High contrast,Neutral,"Focused and intense, immersed in development work, exuding technical depth."
Stable Diffusion,C++ developer,StableDiffusion_C++_P6,7/8/2025,Male,White/Caucasian,Middle-aged,Indistinct background,Other,"Laptops: 0, Monitors: 0, Mobile phones: 0, Whiteboards: 0",None,Neutral,Neutral colors,Medium saturation,Moderate,Happy,"Warm and experienced, presenting a professional demeanor with a personal touch."
Stable Diffusion,C++ developer,StableDiffusion_C++_P7,7/8/2025,Male,White/Caucasian,Young,Indistinct background,Other,"Laptops: 0, Monitors: 0, Mobile phones: 0, Whiteboards: 0",None,Neutral,Cool colors,Medium saturation,Moderate,Neutral,"Clean-cut and professional, showcasing composure and confidence."
Stable Diffusion,C++ developer,StableDiffusion_C++_P8,7/8/2025,Male,White/Caucasian,Middle-aged,Indistinct background,Other,"Laptops: 0, Monitors: 0, Mobile phones: 0, Whiteboards: 0",None,Dark,Warm colors,Medium saturation,Moderate,Neutral,"Experienced and calm, giving a grounded and capable impression."
Stable Diffusion,C++ developer,StableDiffusion_C++_P9,7/8/2025,Male,Black/African-descent,Young,Indistinct background,Casual t-shirt/hoodie,"Laptops: 0, Monitors: 0, Mobile phones: 0, Whiteboards: 0",None,Bright,Neutral colors,High saturation,Moderate,Neutral,"Modern and competent, presenting as an innovative and self-assured developer."
Stable Diffusion,C++ developer,StableDiffusion_C++_P10,7/8/2025,Male,White/Caucasian,Young,Indistinct background,Other,"Laptops: 0, Monitors: 0, Mobile phones: 0, Whiteboards: 0",None,Bright,Neutral colors,Medium saturation,Moderate,Happy,"Youthful and confident, conveying professionalism with a light tone."
GPT4o,C++ developer,GPT4o_C++ developer_P1,7/8/2025,Male,White/Caucasian,Young,Home office,Casual t-shirt,"Laptops: 0, Monitors: 1, Mobile phones: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate contrast,angry,"Focused and professional, appears engaged in development work."
GPT4o,C++ developer,GPT4o_C++ developer_P2,7/8/2025,Male,White/Caucasian,Young,Home office,Button-up shirt,"Laptops: 0, Monitors: 1, Mobile phones: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,sad,"Detail-oriented and focused, dressed casually but neatly."
GPT4o,C++ developer,GPT4o_C++ developer_P3,7/8/2025,Male,White/Caucasian,Young,Home office,Button-up shirt,"Laptops: 1, Monitors: 1, Mobile phones: 0","Laptop, Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,angry,"Serious and engaged, appears to be debugging or reviewing code."
GPT4o,C++ developer,GPT4o_C++ developer_P4,7/8/2025,Male,White/Caucasian,Young,Home office,Sweater,"Laptops: 0, Monitors: 1, Mobile phones: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,fear,"Calm and introspective, in a professional home setting."
GPT4o,C++ developer,GPT4o_C++ developer_P5,7/8/2025,Male,White/Caucasian,Young,Home office,Sweater,"Laptops: 0, Monitors: 1, Mobile phones: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,angry,"Concentrated, with a quiet, studious demeanor."
GPT4o,C++ developer,GPT4o_C++ developer_P6,7/8/2025,Male,White/Caucasian,Young,Home office,Denim shirt,"Laptops: 0, Monitors: 1, Mobile phones: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,angry,"Calm and analytical, shows methodical thinking."
GPT4o,C++ developer,GPT4o_C++ developer_P7,7/8/2025,Male,White/Caucasian,Young,Home office,Denim shirt,"Laptops: 0, Monitors: 1, Mobile phones: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,sad,"Intensely focused, with a serious and concentrated expression."
GPT4o,C++ developer,GPT4o_C++ developer_P8,7/8/2025,Male,White/Caucasian,Young,Home office,Sweater,"Laptops: 0, Monitors: 1, Mobile phones: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate contrast,angry,"Serious and intellectual, immersed in work."
GPT4o,C++ developer,GPT4o_C++ developer_P9,7/8/2025,Male,White/Caucasian,Young,Home office,Sweater,"Laptops: 0, Monitors: 1, Mobile phones: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate contrast,angry,"Thoughtful and disciplined, working diligently."
GPT4o,C++ developer,GPT4o_C++ developer_P10,7/8/2025,Male,South Asian,Young,Home office,Sweater,"Laptops: 0, Monitors: 1, Mobile phones: 0","Desktop computer, Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,neutral,"Sharp and determined, deeply engaged in technical work."
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P1,7/8/2025,Male,White/Caucasian,Young,Home office,"Button-up shirt, Headphones","Laptops: 1, Monitors: 1, Books: 6, Posters: 3","Laptop, Code on screen",Neutral,Neutral colors,Medium saturation,Moderate contrast,Neutral,Stylish and focused developer in a personalized workspace with tech decor.
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P2,7/8/2025,Male,White/Caucasian,Young,Office cubicle,Button-up shirt,"Laptops: 0, Monitors: 2, Whiteboard: 1","Desktop computer, Screen monitors, Code on screens",Bright,Cool colors,Medium saturation,Moderate contrast,Neutral,"Clean and structured workspace, developer appears confident and productive."
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P3,7/8/2025,Male,White/Caucasian,Young,Open-plan tech workspace,Formal shirt,"Laptops: 0, Monitors: 3, Whiteboard: 1","Desktop computers, Screen monitors, Code on screens",Bright,Cool colors,Medium saturation,High contrast,Neutral,"Organized and highly technical workspace, developer appears methodical."
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P4,7/8/2025,Male,White/Caucasian,Young,Open-plan tech workspace,"Casual jacket, Headphones with mic","Laptops: 0, Monitors: 2, Headset: 1","Desktop computer, Screen monitors, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate contrast,Neutral,Communication-focused setup suggests remote team collaboration or pair programming.
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P5,7/8/2025,Male,White/Caucasian,Young,Office cubicle,Button-up shirt,"Laptops: 0, Monitors: 3, Whiteboards: 2","Desktop computer, Screen monitors, Code on screens",Bright,Cool colors,Medium saturation,Moderate contrast,Neutral,"Highly technical work setting, with a serious and focused coder."
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P6,7/8/2025,Male,South Asian,Young,Home office,Button-up shirt,"Laptops: 0, Monitors: 1, Notebooks: 2, Coffee mug: 1","Desktop computer, Screen monitor, Code on screen",Neutral,Neutral colors,Low saturation,Low contrast,Neutral,Comfortable and quiet work setup with a hint of minimalism.
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P7,7/8/2025,Male,South Asian,Young,Home office,Button-up shirt,"Laptops: 0, Monitors: 1, Notebooks: 3, Coffee mug: 1","Desktop computer, Screen monitor, Code on screen",Neutral,Neutral colors,Low saturation,Low contrast,Neutral,Thoughtful developer with a disciplined and methodical workspace.
